序号,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
91,17.46,4.47,26.02,11.05,4.12,14.42,27.31,20.00,27.80,26.93,28.79,32.25,36.12,32.00,31.02,29.00,29.07,24.08,22.02,24.00,19.24,15.81,12.65,15.26,19.92,34.06,35.23,17.89,13.42,13.93,15.30,28.07,29.07,28.02,22.56,26.93,28.44,22.85,29.15,21.84,24.60,11.70,8.06,12.65,19.24,19.65,19.31,20.22,21.93,27.20,32.39,34.48,22.80,17.80,15.56,13.04,15.81,32.28,33.38,28.86,29.53,30.53,31.06,32.02,24.76,24.08,27.20,24.17,22.80,21.47,18.00,16.28,17.46,4.47,8.06,13.42,10.82,14.42,5.66,9.43,8.54,9.06,11.40,12.73,17.49,21.26,20.52,21.93,17.69,17.89,1.41,0.00,2.83,5.39,8.06,11.40,3.61,5.39,13.60,20.25,18.03,16.55,12.08,8.06,11.40,6.00,7.28,2.24,7.81,8.49,1.41,8.06,17.03,20.52,22.20,22.47,24.08,25.50,19.00,18.25,20.62,13.45,8.60,10.77,16.00,34.71,29.15,27.07,21.21,18.44,19.42,17.46,27.80,31.24,30.41,26.17,19.42,15.26,13.42,16.97,19.21,20.81,18.87,7.21,8.49,7.07,30.36,29.73,27.78,32.89,36.14,33.24,26.40,24.35,37.44,34.21,36.06,23.32,22.56,23.26,25.06,32.80,36.36,34.44,31.76,28.23,36.06,37.11,28.86,26.93,24.74,28.44,30.41,32.56,34.23,38.01,37.85,33.96,40.26,34.21,37.16
92,19.92,4.47,28.02,13.34,6.71,17.20,29.97,20.59,30.61,28.44,31.38,34.53,38.01,34.06,33.14,31.06,31.00,26.00,24.02,26.08,21.59,18.38,15.23,18.03,22.47,36.00,37.05,20.59,16.12,16.55,17.72,30.27,31.26,30.02,25.00,29.41,30.81,25.50,31.40,24.35,27.29,10.82,9.22,14.14,20.25,21.21,20.62,22.02,23.09,28.64,34.13,35.34,23.32,18.36,15.81,12.73,16.55,33.73,35.13,30.41,30.46,31.30,31.76,32.45,24.84,24.41,27.78,25.30,24.33,22.47,20.10,18.03,19.10,6.00,10.05,14.56,11.70,15.23,6.32,9.22,7.81,7.62,11.40,13.04,18.38,21.63,20.81,22.02,17.80,17.20,4.24,2.83,0.00,3.00,5.39,8.60,5.00,7.00,14.32,21.59,19.42,17.72,13.34,9.22,13.04,8.25,6.40,3.00,8.06,5.66,3.16,10.44,19.85,23.35,25.00,25.24,26.91,28.32,21.10,20.62,23.09,16.28,11.40,13.42,18.11,36.35,31.02,29.00,23.02,20.10,21.10,20.12,30.61,34.06,33.24,29.00,22.20,18.03,16.12,19.80,22.02,23.60,21.63,10.00,11.31,9.49,32.89,32.31,30.53,35.47,37.66,35.51,29.07,26.93,40.22,36.69,38.21,26.08,25.00,25.94,27.78,35.61,39.12,37.12,34.48,30.87,38.63,39.56,31.32,29.41,27.20,30.81,32.76,34.93,36.50,40.11,39.46,35.51,41.77,35.69,38.28
93,22.80,4.12,28.28,14.32,9.49,19.10,31.38,23.26,33.02,31.40,34.18,37.48,41.01,37.05,36.12,34.06,34.00,29.00,27.02,29.07,24.52,21.19,18.03,20.59,25.30,39.00,40.05,23.26,18.79,19.31,20.62,33.24,34.23,33.02,26.00,30.46,31.62,26.93,32.02,25.50,28.84,12.73,12.17,17.12,23.09,24.19,23.54,25.02,25.96,31.58,37.12,38.08,25.94,21.02,18.36,15.00,19.31,36.67,38.12,33.38,33.24,34.01,34.44,34.99,27.20,26.93,30.41,28.16,27.29,25.30,23.09,21.02,22.09,9.00,13.04,17.46,14.56,18.03,9.22,11.66,10.00,9.22,13.89,15.65,21.19,24.19,23.32,24.41,20.25,19.10,6.71,5.39,3.00,0.00,5.10,7.28,5.83,7.62,13.34,21.10,19.03,17.12,13.00,9.06,13.15,9.43,4.47,4.24,7.07,4.12,6.08,13.34,21.93,25.61,26.91,27.02,29.21,30.41,21.59,21.54,24.17,18.60,13.45,15.00,18.68,36.06,31.06,29.15,23.09,20.02,21.02,21.63,32.56,36.07,35.47,31.24,24.08,19.85,17.80,22.02,24.41,26.08,24.19,12.53,13.60,10.82,35.74,35.11,33.12,38.28,40.61,38.47,31.78,29.73,42.72,39.56,41.19,28.65,27.89,28.64,30.41,38.01,41.68,39.81,37.12,33.62,41.44,42.45,34.21,32.28,30.08,33.73,35.69,37.85,39.46,43.10,42.43,38.47,44.72,38.64,41.11
94,23.71,9.00,33.14,18.68,11.31,22.47,35.34,20.62,35.38,30.00,35.36,37.64,40.20,36.67,35.90,33.73,33.38,28.44,26.68,28.86,25.08,22.47,19.42,22.67,26.42,38.33,39.12,25.00,20.62,20.81,21.47,33.24,34.21,32.56,30.36,34.79,36.14,30.87,36.67,29.73,32.65,8.94,11.40,16.28,21.10,23.09,22.00,24.33,24.08,30.02,36.06,35.44,23.09,18.44,15.52,11.70,17.12,35.06,37.05,32.00,30.81,31.32,31.62,31.78,23.71,23.77,27.51,26.17,26.02,23.19,23.09,20.40,21.21,9.43,13.42,16.03,13.04,16.03,8.54,9.06,7.07,5.39,11.18,13.15,19.10,21.19,20.25,21.02,17.09,15.00,9.43,8.06,5.39,5.10,0.00,3.61,10.20,12.17,18.44,26.17,24.08,22.20,18.03,14.00,18.03,13.60,9.49,8.25,12.17,2.24,7.81,14.42,25.00,28.32,30.23,30.53,31.83,33.42,26.31,25.96,28.46,21.26,16.64,18.79,23.35,41.11,36.01,34.06,28.02,25.00,26.00,25.50,35.81,39.20,38.21,33.97,27.46,23.32,21.47,24.84,26.87,28.32,26.25,14.87,16.40,14.87,36.67,36.24,35.00,39.36,39.05,38.60,33.29,30.89,44.82,40.31,41.00,30.61,28.64,30.23,32.20,40.36,43.60,41.34,38.83,34.99,42.49,43.08,34.93,33.11,30.87,34.18,36.06,38.28,39.56,42.76,41.01,37.01,43.10,37.05,38.83
95,27.29,11.40,35.51,21.54,14.87,25.81,38.47,23.19,38.95,33.06,38.95,41.11,43.42,40.02,39.29,37.11,36.67,31.78,30.08,32.28,28.64,26.08,23.02,26.25,30.02,41.59,42.30,28.60,24.21,24.41,25.06,36.69,37.64,35.90,33.24,37.70,38.90,34.00,39.29,32.70,35.85,11.18,14.87,19.65,24.00,26.31,25.08,27.66,27.00,33.02,39.20,37.85,25.50,21.10,18.11,14.14,20.00,38.00,40.20,35.06,33.38,33.73,33.96,33.84,25.63,25.96,29.83,29.02,29.15,26.02,26.57,23.77,24.52,13.04,17.00,19.24,16.28,19.03,12.08,12.04,10.05,8.00,14.00,16.00,22.00,23.54,22.56,23.09,19.42,16.55,12.81,11.40,8.60,7.28,3.61,0.00,13.00,14.87,20.02,28.00,26.02,24.00,20.10,16.28,20.40,16.55,11.00,11.18,14.04,3.16,11.31,18.03,28.43,31.83,33.60,33.84,35.36,36.88,28.86,28.79,31.38,24.76,20.00,21.95,25.96,43.00,38.21,36.35,30.27,27.17,28.16,28.65,39.20,42.64,41.73,37.48,30.81,26.63,24.70,28.32,30.41,31.89,29.83,18.38,19.85,17.89,40.25,39.82,38.60,42.94,42.00,42.06,36.89,34.48,48.41,43.86,44.38,34.21,32.20,33.84,35.81,43.93,47.20,44.94,42.44,38.59,46.07,46.62,38.48,36.67,34.44,37.70,39.56,41.79,43.01,46.10,44.01,40.01,46.01,40.00,41.44
96,19.03,2.24,23.02,8.54,6.32,13.45,25.55,23.43,27.78,29.73,29.83,34.01,38.47,34.13,33.06,31.14,31.40,26.48,24.33,26.17,21.00,17.12,14.04,15.81,21.21,36.35,37.66,18.68,14.32,15.13,17.00,30.02,31.02,30.27,20.25,24.70,25.96,21.10,26.48,19.70,23.02,15.23,11.40,15.65,22.47,22.47,22.36,22.80,25.06,30.08,34.93,37.74,26.25,21.26,19.10,16.64,19.21,35.11,35.90,31.62,32.76,33.84,34.41,35.47,28.32,27.59,30.61,27.29,25.63,24.70,20.22,18.97,20.25,7.81,10.77,16.64,14.21,17.80,9.22,13.04,12.08,12.37,15.00,16.28,20.81,24.76,24.04,25.50,21.26,21.47,3.61,3.61,5.00,5.83,10.20,13.00,0.00,2.00,10.00,16.76,14.56,13.00,8.54,4.47,8.06,3.61,5.10,2.00,4.47,9.85,5.00,10.20,16.40,20.25,21.21,21.26,23.85,24.84,16.12,15.81,18.38,13.42,8.06,9.22,13.15,31.40,26.02,24.00,18.03,15.13,16.12,15.81,26.87,30.41,30.00,25.81,18.38,14.14,12.04,16.64,19.24,21.02,19.31,8.06,8.54,5.00,31.58,30.81,28.23,33.96,38.90,35.01,27.20,25.50,37.59,35.51,38.01,23.77,24.08,24.04,25.63,32.76,36.67,35.11,32.31,29.12,37.11,38.47,30.27,28.28,26.17,30.07,32.06,34.13,36.01,40.05,40.52,36.69,43.01,37.00,40.25
97,19.03,3.61,21.02,6.71,7.21,12.21,23.85,24.76,26.83,30.46,29.43,34.01,38.83,34.37,33.24,31.40,31.78,26.93,24.74,26.48,21.10,17.00,14.04,15.30,21.02,36.67,38.08,18.25,14.04,15.00,17.12,30.15,31.14,30.59,18.38,22.85,24.04,19.42,24.52,17.89,21.40,17.09,12.73,16.64,23.60,23.26,23.32,23.41,26.08,30.87,35.44,38.83,27.59,22.63,20.62,18.36,20.52,35.85,36.40,32.31,33.84,35.00,35.61,36.80,29.83,29.00,31.89,28.30,26.40,25.81,20.62,19.70,21.02,9.22,11.66,17.80,15.56,19.10,10.82,14.76,13.93,14.32,16.64,17.80,22.02,26.17,25.50,27.02,22.80,23.26,5.00,5.39,7.00,7.62,12.17,14.87,2.00,0.00,8.49,14.87,12.65,11.18,6.71,2.83,6.08,2.24,5.83,4.00,4.00,11.70,6.71,10.77,15.26,19.24,19.85,19.80,22.83,23.60,14.14,13.93,16.55,12.65,7.28,7.81,11.18,29.43,24.02,22.00,16.03,13.15,14.14,14.21,25.50,29.07,28.84,24.70,17.03,12.81,10.63,15.65,18.38,20.25,18.68,8.06,8.06,3.61,31.26,30.41,27.51,33.54,39.56,35.01,26.68,25.18,36.67,35.23,38.12,23.09,24.00,23.54,25.00,31.76,35.85,34.48,31.62,28.64,36.67,38.21,30.07,28.07,26.02,30.00,32.00,34.01,36.01,40.20,41.11,37.34,43.66,37.70,41.18
98,25.96,9.85,16.55,9.00,15.62,16.03,23.60,33.24,30.59,38.47,35.01,40.61,46.17,41.48,40.26,38.60,39.22,34.54,32.31,33.84,28.16,23.77,21.19,21.21,27.46,43.97,45.54,24.19,20.62,21.84,24.35,37.11,38.08,37.95,17.03,21.21,21.40,19.72,21.10,17.20,21.95,25.06,21.21,25.00,32.02,31.38,31.62,31.30,34.41,38.95,43.08,47.20,36.07,31.11,29.07,26.63,29.00,43.83,44.01,40.25,42.20,43.42,44.05,45.28,38.29,37.48,40.36,36.62,34.48,34.21,28.23,27.78,29.15,17.69,20.00,26.25,24.04,27.59,19.21,23.02,21.95,21.93,25.00,26.25,30.48,34.66,33.97,35.47,31.24,31.38,13.45,13.60,14.32,13.34,18.44,20.02,10.00,8.49,0.00,8.06,6.32,4.12,3.00,5.66,5.00,9.43,9.06,11.66,6.32,17.12,15.00,18.87,19.10,23.19,22.14,21.54,26.48,26.25,11.31,13.04,15.81,18.11,13.60,12.04,9.43,23.02,18.68,17.09,11.18,8.06,8.94,15.81,27.31,30.87,31.62,27.89,19.65,16.12,14.04,20.02,23.02,25.02,24.02,15.65,14.87,9.85,37.05,36.01,32.14,39.00,47.42,41.59,32.00,31.14,40.26,41.05,44.91,28.02,30.59,29.02,30.02,35.17,39.81,39.20,36.22,34.00,42.01,44.05,36.22,34.23,32.39,36.50,38.47,40.31,42.58,47.07,48.85,45.19,51.48,45.62,49.40
99,28.30,17.26,9.22,11.31,21.10,16.55,18.97,38.60,29.07,42.01,35.17,41.79,48.30,43.38,42.05,40.71,41.68,37.44,35.23,36.36,30.53,26.08,24.21,22.83,29.07,46.07,47.89,25.50,23.02,24.41,27.20,38.91,39.81,40.31,12.37,15.65,15.00,16.12,14.14,13.15,18.25,31.95,26.93,29.83,36.88,35.38,36.07,34.83,38.90,42.64,45.79,51.62,41.40,36.62,34.99,33.11,34.41,47.20,46.65,43.60,46.67,48.10,48.84,50.45,44.10,43.01,45.45,41.01,38.29,38.95,31.40,31.83,33.24,23.71,25.00,31.40,29.68,33.02,25.50,29.55,28.79,29.12,31.30,32.25,35.61,40.22,39.66,41.34,37.22,38.08,19.70,20.25,21.59,21.10,26.17,28.00,16.76,14.87,8.06,0.00,2.24,4.00,8.25,12.37,8.94,14.76,17.00,18.68,14.04,25.02,21.54,23.43,18.97,22.56,20.02,19.00,25.18,24.00,7.00,10.05,12.04,19.72,16.97,14.21,7.62,15.00,10.77,9.43,4.47,3.16,3.00,14.32,24.19,27.46,29.07,26.02,18.25,16.16,14.76,20.25,23.09,25.00,24.70,19.85,18.38,14.42,37.36,36.14,31.40,38.83,50.48,42.72,32.02,31.95,38.05,41.23,46.24,27.89,32.20,29.41,29.83,33.02,38.00,38.21,35.23,33.96,41.59,44.15,37.00,35.11,33.62,37.70,39.56,41.11,43.66,48.47,51.62,48.26,54.38,48.83,53.26
100,26.42,15.13,10.30,9.22,18.87,14.87,18.79,36.40,28.00,40.00,33.73,40.16,46.52,41.63,40.31,38.91,39.82,35.51,33.29,34.48,28.65,24.19,22.20,21.02,27.31,44.28,46.07,23.77,21.10,22.47,25.24,37.16,38.08,38.47,12.08,15.81,15.56,15.52,15.00,12.65,17.72,29.73,24.70,27.66,34.71,33.30,33.94,32.80,36.77,40.61,43.91,49.52,39.20,34.41,32.76,30.87,32.20,45.22,44.78,41.62,44.55,45.97,46.69,48.27,41.88,40.80,43.28,38.90,36.24,36.80,29.41,29.73,31.14,21.47,22.80,29.21,27.46,30.81,23.26,27.31,26.57,26.93,29.07,30.02,33.42,38.01,37.44,39.12,34.99,35.85,17.46,18.03,19.42,19.03,24.08,26.02,14.56,12.65,6.32,2.24,0.00,2.24,6.08,10.20,6.71,12.53,15.03,16.49,12.00,23.00,19.31,21.26,17.46,21.21,19.03,18.11,24.02,23.09,6.32,9.06,11.40,17.89,14.87,12.21,6.08,17.03,12.37,10.77,5.00,2.24,2.83,13.04,23.54,26.93,28.28,25.02,17.03,14.56,13.00,18.68,21.59,23.54,23.09,17.69,16.28,12.21,35.90,34.71,30.15,37.48,48.55,41.11,30.59,30.36,37.22,39.81,44.60,26.48,30.46,27.89,28.44,32.14,37.05,37.05,34.06,32.56,40.31,42.76,35.44,33.53,31.95,36.06,37.95,39.56,42.06,46.82,49.74,46.32,52.48,46.87,51.22
101,26.40,13.34,12.53,8.94,17.80,15.30,20.59,35.47,29.07,39.66,34.37,40.52,46.62,41.79,40.50,39.00,39.81,35.36,33.12,34.44,28.64,24.17,21.95,21.19,27.51,44.38,46.10,24.04,21.02,22.36,25.06,37.34,38.28,38.48,13.89,17.80,17.69,17.09,17.20,14.32,19.31,28.23,23.60,26.87,33.94,32.80,33.30,32.45,36.12,40.22,43.83,48.92,38.29,33.42,31.62,29.53,31.24,44.94,44.72,41.34,43.93,45.28,45.97,47.42,40.80,39.82,42.45,38.29,35.81,36.07,29.15,29.21,30.61,20.25,21.93,28.32,26.40,29.83,21.95,25.94,25.08,25.30,27.78,28.84,32.56,37.01,36.40,38.01,33.84,34.44,16.12,16.55,17.72,17.12,22.20,24.00,13.00,11.18,4.12,4.00,2.24,0.00,4.47,8.54,5.66,11.40,13.00,14.87,10.05,21.02,17.89,20.52,18.11,22.02,20.22,19.42,25.02,24.33,8.06,10.44,13.00,18.03,14.42,12.08,7.07,19.00,14.56,13.00,7.21,4.24,5.00,14.04,25.00,28.46,29.61,26.17,18.03,15.13,13.34,19.24,22.20,24.19,23.54,17.03,15.81,11.31,36.50,35.36,31.02,38.21,48.37,41.48,31.26,30.81,38.47,40.45,44.92,27.17,30.68,28.44,29.15,33.38,38.21,38.00,35.00,33.24,41.11,43.42,35.90,33.96,32.28,36.40,38.33,40.02,42.45,47.13,49.65,46.14,52.35,46.65,50.80
102,23.09,9.06,15.52,6.00,13.45,13.04,21.26,31.14,27.66,35.85,32.02,37.66,43.32,38.60,37.36,35.74,36.40,31.78,29.55,31.02,25.30,20.88,18.38,18.25,24.52,41.11,42.72,21.21,17.72,18.97,21.54,34.21,35.17,35.11,14.87,19.21,19.72,17.20,19.70,14.87,19.42,23.77,19.21,22.67,29.73,28.84,29.21,28.65,32.02,36.36,40.31,44.82,33.97,29.07,27.20,25.06,26.91,41.18,41.23,37.59,39.82,41.11,41.77,43.14,36.40,35.47,38.18,34.21,31.91,31.89,25.50,25.24,26.63,15.81,17.69,24.04,22.02,25.50,17.49,21.47,20.62,20.88,23.32,24.41,28.28,32.65,32.02,33.60,29.41,29.97,11.66,12.08,13.34,13.00,18.03,20.10,8.54,6.71,3.00,8.25,6.08,4.47,0.00,4.12,2.00,7.07,9.22,10.44,6.08,17.03,13.42,16.40,16.12,20.22,19.31,18.79,23.54,23.41,9.43,10.63,13.45,15.13,10.77,9.06,7.07,23.09,18.11,16.28,10.20,7.07,8.06,13.00,24.60,28.18,28.79,25.00,16.76,13.15,11.05,17.03,20.02,22.02,21.02,13.04,12.08,7.21,34.06,33.02,29.15,36.00,44.72,38.64,29.00,28.16,37.36,38.05,41.98,25.02,27.66,26.02,27.02,32.28,36.88,36.22,33.24,31.00,39.01,41.05,33.24,31.26,29.43,33.54,35.51,37.34,39.62,44.15,46.10,42.49,48.75,42.94,46.87
103,21.21,5.00,19.24,6.40,10.00,13.00,23.43,27.59,27.86,33.11,31.14,36.12,41.23,36.67,35.51,33.73,34.21,29.41,27.20,28.86,23.35,19.10,16.28,17.03,23.02,39.05,40.52,20.02,16.03,17.12,19.42,32.39,33.38,32.98,17.49,21.95,22.85,19.10,23.09,17.20,21.21,19.70,15.56,19.42,26.40,25.94,26.08,26.00,28.84,33.54,37.95,41.62,30.41,25.46,23.43,21.10,23.35,38.48,38.90,34.93,36.62,37.80,38.42,39.62,32.65,31.83,34.71,31.06,29.07,28.60,23.09,22.36,23.71,12.04,14.42,20.62,18.38,21.93,13.60,17.49,16.55,16.76,19.42,20.62,24.84,29.00,28.32,29.83,25.61,25.94,7.81,8.06,9.22,9.06,14.00,16.28,4.47,2.83,5.66,12.37,10.20,8.54,4.12,0.00,4.12,4.12,5.83,6.32,2.83,13.15,9.43,13.42,16.16,20.25,20.25,20.00,23.77,24.19,12.65,13.04,15.81,14.14,9.00,8.54,9.85,27.17,22.02,20.10,14.04,11.00,12.00,14.21,25.81,29.41,29.53,25.50,17.49,13.42,11.18,16.76,19.65,21.59,20.22,10.44,10.05,5.00,33.06,32.14,28.86,35.23,42.15,37.12,28.28,27.02,37.70,37.05,40.31,24.52,26.08,25.18,26.48,32.70,37.00,35.90,32.98,30.27,38.33,40.05,32.00,30.00,28.02,32.06,34.06,36.01,38.12,42.43,43.66,39.92,46.24,40.31,43.91
104,21.19,9.06,15.13,4.00,12.21,11.05,19.80,29.83,25.71,34.13,30.02,35.69,41.44,36.69,35.44,33.84,34.54,29.97,27.73,29.15,23.41,18.97,16.55,16.28,22.56,39.22,40.85,19.24,15.81,17.09,19.70,32.28,33.24,33.24,13.60,18.03,18.79,15.62,18.97,13.45,17.80,23.09,18.03,21.21,28.28,27.20,27.66,26.93,30.48,34.67,38.48,43.28,32.65,27.80,26.08,24.17,25.61,39.45,39.40,35.85,38.29,39.62,40.31,41.77,35.23,34.21,36.80,32.65,30.23,30.41,23.71,23.60,25.00,14.76,16.28,22.67,20.81,24.21,16.55,20.62,19.92,20.40,22.36,23.32,26.91,31.40,30.81,32.45,28.30,29.15,10.77,11.40,13.04,13.15,18.03,20.40,8.06,6.08,5.00,8.94,6.71,5.66,2.00,4.12,0.00,5.83,9.85,10.05,6.71,17.26,12.65,14.87,14.14,18.25,17.46,17.00,21.59,21.54,8.54,9.22,12.04,13.15,8.94,7.07,5.83,23.35,18.00,16.03,10.00,7.07,8.06,11.18,22.83,26.42,26.93,23.09,14.87,11.18,9.06,15.03,18.03,20.02,19.03,11.40,10.30,5.66,32.06,31.02,27.17,34.00,42.94,36.67,27.00,26.17,35.44,36.06,40.02,23.02,25.71,24.02,25.02,30.36,34.93,34.23,31.26,29.00,37.01,39.05,31.26,29.27,27.46,31.58,33.54,35.36,37.66,42.20,44.28,40.71,46.96,41.18,45.22
105,17.12,5.66,20.02,5.10,6.40,10.00,21.95,24.08,24.60,29.07,27.29,32.06,37.11,32.56,31.40,29.61,30.08,25.30,23.09,24.74,19.24,15.03,12.17,13.15,19.00,34.93,36.40,16.12,12.00,13.04,15.30,28.28,29.27,28.86,16.76,21.19,22.56,17.49,23.19,16.16,19.42,17.46,12.21,15.62,22.67,21.95,22.20,21.93,25.00,29.53,33.84,37.80,26.91,22.02,20.25,18.38,19.85,34.44,34.79,30.87,32.80,34.06,34.71,36.07,29.41,28.43,31.11,27.20,25.06,24.84,18.97,18.36,19.72,8.94,10.63,16.97,15.00,18.44,10.77,14.87,14.32,15.03,16.55,17.49,21.21,25.61,25.00,26.63,22.47,23.41,5.10,6.00,8.25,9.43,13.60,16.55,3.61,2.24,9.43,14.76,12.53,11.40,7.07,4.12,5.83,0.00,8.06,5.39,6.08,13.42,7.07,9.43,13.04,17.00,17.69,17.69,20.59,21.40,13.00,12.37,14.87,10.44,5.10,5.66,10.00,28.86,23.19,21.10,15.30,12.65,13.60,12.21,23.35,26.91,26.63,22.47,14.87,10.63,8.49,13.42,16.16,18.03,16.49,6.32,6.00,1.41,29.15,28.28,25.30,31.40,38.08,33.06,24.52,23.09,34.44,33.14,36.22,20.88,22.02,21.38,22.80,29.53,33.62,32.28,29.41,26.48,34.53,36.12,28.02,26.02,24.00,28.02,30.02,32.00,34.06,38.33,39.56,35.85,42.15,36.25,39.96
106,24.08,3.00,24.74,12.04,11.05,18.03,29.21,26.93,32.65,34.21,34.93,39.05,43.29,39.05,38.01,36.06,36.22,31.26,29.15,31.06,26.02,22.20,19.10,20.88,26.31,41.19,42.43,23.77,19.42,20.22,22.02,35.00,36.00,35.13,23.32,27.78,28.64,24.84,28.79,23.02,26.91,17.03,15.23,19.92,26.40,26.93,26.57,27.46,29.15,34.48,39.62,41.59,29.68,24.70,22.20,19.10,22.83,39.56,40.61,36.14,36.67,37.59,38.08,38.83,31.24,30.81,34.13,31.38,30.08,28.64,25.08,23.54,24.74,11.70,15.30,20.62,17.89,21.47,12.53,15.62,14.14,13.60,17.80,19.42,24.60,28.02,27.20,28.43,24.21,23.43,8.06,7.28,6.40,4.47,9.49,11.00,5.10,5.83,9.06,17.00,15.03,13.00,9.22,5.83,9.85,8.06,0.00,5.10,3.16,8.06,8.54,15.03,21.10,25.06,25.61,25.50,28.65,29.41,18.38,18.87,21.63,18.38,13.00,13.60,15.65,32.00,27.29,25.50,19.42,16.28,17.26,19.80,31.24,34.83,34.67,30.53,22.80,18.60,16.40,21.47,24.17,26.00,24.35,13.15,13.60,9.43,36.67,35.90,33.24,39.05,43.42,40.05,32.28,30.59,42.49,40.61,43.00,28.79,29.15,29.12,30.68,37.59,41.63,40.16,37.34,34.21,42.20,43.57,35.36,33.38,31.26,35.13,37.12,39.20,41.05,45.01,45.12,41.23,47.54,41.48,44.38
107,19.24,2.24,25.02,10.44,6.00,14.87,27.29,22.20,28.84,29.12,30.36,34.13,38.21,34.01,33.00,31.02,31.14,26.17,24.08,26.02,21.10,17.46,14.32,16.55,21.59,36.12,37.34,19.31,14.87,15.52,17.12,30.02,31.02,30.07,22.14,26.57,27.89,22.83,28.44,21.54,24.70,13.42,10.30,14.87,21.47,21.84,21.54,22.36,24.17,29.41,34.53,36.72,25.00,20.00,17.69,15.00,18.03,34.48,35.51,31.05,31.76,32.76,33.29,34.21,26.87,26.25,29.41,26.40,25.00,23.71,20.02,18.44,19.65,6.71,10.20,15.65,13.04,16.64,7.81,11.40,10.30,10.44,13.45,14.87,19.72,23.43,22.67,24.04,19.80,19.72,3.00,2.24,3.00,4.24,8.25,11.18,2.00,4.00,11.66,18.68,16.49,14.87,10.44,6.32,10.05,5.39,5.10,0.00,5.66,8.06,3.61,10.00,17.69,21.40,22.67,22.80,25.00,26.17,18.11,17.72,20.25,14.42,9.22,10.82,15.13,33.38,28.02,26.00,20.02,17.12,18.11,17.49,28.32,31.83,31.24,27.02,19.85,15.62,13.60,17.80,20.25,21.95,20.12,8.54,9.43,6.71,32.02,31.32,29.07,34.48,38.33,35.13,27.86,25.96,38.59,35.90,38.01,24.60,24.33,24.70,26.40,33.84,37.59,35.85,33.11,29.73,37.64,38.83,30.59,28.64,26.48,30.27,32.25,34.37,36.12,40.00,40.02,36.14,42.45,36.40,39.40
108,23.02,3.61,21.59,9.22,10.77,15.65,26.25,27.80,30.46,34.18,33.38,38.01,42.76,38.33,37.22,35.36,35.69,30.81,28.64,30.41,25.08,21.00,18.03,19.24,25.02,40.61,41.98,22.20,18.03,19.00,21.10,34.13,35.13,34.53,20.25,24.70,25.50,21.93,25.63,20.00,24.04,18.87,15.81,20.12,26.93,26.93,26.83,27.20,29.53,34.54,39.29,42.19,30.61,25.61,23.35,20.62,23.60,39.56,40.26,36.06,37.22,38.28,38.83,39.82,32.53,31.89,35.00,31.76,30.08,29.15,24.52,23.41,24.70,12.21,15.23,21.10,18.60,22.20,13.45,17.03,15.81,15.65,19.10,20.52,25.24,29.07,28.32,29.70,25.46,25.24,8.06,7.81,8.06,7.07,12.17,14.04,4.47,4.00,6.32,14.04,12.00,10.05,6.08,2.83,6.71,6.08,3.16,5.66,0.00,11.00,9.22,14.56,18.79,22.85,23.02,22.80,26.40,26.93,15.23,15.81,18.60,16.49,11.18,11.18,12.53,29.02,24.19,22.36,16.28,13.15,14.14,17.03,28.60,32.20,32.25,28.18,20.25,16.12,13.89,19.31,22.14,24.04,22.56,12.04,12.04,7.28,35.23,34.37,31.32,37.48,43.32,39.01,30.59,29.15,40.31,39.20,42.11,26.93,28.00,27.46,28.86,35.34,39.56,38.33,35.44,32.56,40.61,42.19,34.06,32.06,30.02,34.00,36.00,38.01,40.01,44.18,44.92,41.11,47.43,41.44,44.72
